id,username,created_at,lng,lat,text
1527218335171198976,Chrysler5176,Thu May 19 09:23:20 +0000 2022,-6.0247025,54.551736500000004,Auf einer Skala von 1 bis New York: Wie abgebrüht ist eigentlich Lenz? Spielt aus seiner persönlichen Sicht (viele… https://t.co/0Q4ObWFwm5
1527218400178601984,kevinpbreslin,Thu May 19 09:23:35 +0000 2022,-8.6450685,54.193422,@London_Skylines @Aontaithe2021 You think that's related back to protecting the Single Market?
1527218416934961154,KarSugrue,Thu May 19 09:23:39 +0000 2022,-8.761319,52.518414500000006,@AliFla @fiannafailparty @greenparty_ie @FineGael @podonovan @RichardODonoghu @kodonnellLK @OurMatHosp… https://t.co/KlzdDZAY7A
1527218439345123334,vivienne7,Thu May 19 09:23:44 +0000 2022,-4.200441,57.739454,@ewencameronruns @colinkeose @fionawernham What an experience but sad way to lose 🙁
1527218480407257089,bluemoonjules,Thu May 19 09:23:54 +0000 2022,-3.927119,50.997507,@immarkosullivan @MsYellowHat 🥰
1527218506793734145,kevinpbreslin,Thu May 19 09:24:01 +0000 2022,-8.6450685,54.193422,@London_Skylines @Aontaithe2021 Pure cheap propaganda on repeat.
1527218510115524608,drew98666173,Thu May 19 09:24:01 +0000 2022,-5.928413,54.595869,@EtesiaUK life made easy with the big Etesia !!!Drumbo Co Down UK 🇬🇧 https://t.co/PFNcKJbGlY
1527218592848166912,KarSugrue,Thu May 19 09:24:21 +0000 2022,-8.761319,52.518414500000006,"@Suzieq2021 No, I’m changed completely by it - and I’m endlessly grateful"
1527218615711318018,7377743GFC,Thu May 19 09:24:26 +0000 2022,-5.8123664999999995,54.725341,@veldkamp152 Fukin weirdos
1527218615350591488,BarbersSailor,Thu May 19 09:24:26 +0000 2022,-6.395643,53.906042,"Wash, Cut &amp; StyleGet your premium styles with Sailor Sharkey BarbersBook in now or just pop in..#barber… https://t.co/KXEhc1Wl2z"
1527218630181658625,quo_knows,Thu May 19 09:24:30 +0000 2022,-2.298134,52.84709,: : Are you a Museum ?Upload your chapter and be part of THEUNIVERSE .Because EVERYTHINGISCONNECTED .#connection… https://t.co/2M3eZUEmVw
1527218638641569794,LeoBisset,Thu May 19 09:24:32 +0000 2022,-6.235720000000001,53.494597999999996,@orchidsbudget @Michael_O_Regan @marybuckley549 Agreed. They have over the years given a lot of clubs sites for pit… https://t.co/Mg2kVyWTki
1527218662138163200,KieransCollege,Thu May 19 09:24:38 +0000 2022,-7.25544122,52.64747946,Leinster Athletics - Congrats to Matias Quaglia Silver in 100m &amp; Bronze in Long Jump in Schools Leinster Athletics… https://t.co/yqNVHD1gwb
1527218721084821504,mcgroarycmsncom,Thu May 19 09:24:52 +0000 2022,-7.866291,54.9210315,@Miss_ACaldwell Co. Donegal Ireland
1527218726902321152,mistereatgalway,Thu May 19 09:24:53 +0000 2022,-9.1065045,53.343312999999995,Phew 😅Wordle 334 5/6*⬜⬜🟩⬜⬜🟨⬜🟩⬜🟩⬜⬜🟩🟩🟩⬜🟩🟩🟩🟩🟩🟩🟩🟩🟩
1527218736469528576,spriggy45,Thu May 19 09:24:55 +0000 2022,-4.517542,50.843422,"I'm at Farm Shop in Bude, England https://t.co/qtB2QLSsvt https://t.co/kgQPPUq0V2"
1527218764948951040,coll_wild,Thu May 19 09:25:02 +0000 2022,-4.200441,57.739454,The the rangers fans where so quiet last night for 1 big reason....every one of their songs would get them banned next season
1527218765326389248,stmichaelshfss,Thu May 19 09:25:02 +0000 2022,-6.2476215,53.354902499999994,5th years having a ball on the inflatables 🥳 #sportsday @lecheiletrust1 https://t.co/1Szrxe1p51
