id,username,created_at,lng,lat,text
1527220251041079300,ronniehuxford,Thu May 19 09:30:56 +0000 2022,-4.0016169999999995,52.404436,@konradsmash @officialND @EaracheRecords @digearache https://t.co/tiMFf8GFbU
1527220255390564352,oldfootballprog,Thu May 19 09:30:57 +0000 2022,-0.39004099999999997,50.8313395,@deafsinger68 @kefiminerals Oh sorry I thought I missed a interview 😊
1527220255491227648,DavidBr65161102,Thu May 19 09:30:57 +0000 2022,-2.2038685,52.526056499999996,"@GizmoGizmo13 Mine was £75/mth went up to £130, however with little adjustments here and there, like shutting off T… https://t.co/bsJ3sqgXgT"
1527220257252843521,SwallowsJess,Thu May 19 09:30:58 +0000 2022,-3.1798,51.497001499999996,What guy doesn't enjoy 2 fingers deep in your lubed bum. Watch or join in Donors can join us on cam or in person in… https://t.co/HLZtW7DvP0
1527220267491237891,BCAcoach,Thu May 19 09:31:00 +0000 2022,-3.1798,51.497001499999996,@englandcricket @JofraArcher 😢
1527220270288748544,Chris_CPH,Thu May 19 09:31:01 +0000 2022,-0.0350195,51.5148305,The absolutely chaos and the drama. I’ll totally be watching it. Gay rights!
1527220271194710019,freightlink,Thu May 19 09:31:01 +0000 2022,-2.7016375000000004,53.774091,P&amp;O Ferries Update - Drivers from Different Vehicles to Share One Cabinhttps://t.co/GDGbrqbKnZ#Freight #ferry… https://t.co/sadStkcBeh
1527220274273329153,FlyingSaltire,Thu May 19 09:31:02 +0000 2022,-3.6106635000000002,57.60631600000001,Ditto
1527220274906660864,BillyMcDiarmid,Thu May 19 09:31:02 +0000 2022,-4.200441,57.739454,ScotRail doing their very best to put people off using public transport.Last train to from Glasgow Central from M… https://t.co/fJhjDPxoum
1527220275183591424,91sjinie,Thu May 19 09:31:02 +0000 2022,-0.21089449999999998,51.6118845,Eu
1527220277083512832,SeasonTravelerZ,Thu May 19 09:31:03 +0000 2022,-0.148936,51.500092,@fascinatorfun Why lie
1527220279394680837,Tracey__Hanna,Thu May 19 09:31:03 +0000 2022,-0.1937195,51.4516565,"#LBC caller: “I’m a fully paid-up member of the Conservative Party, but I’m not bias.”😃@mrjamesob"
1527220280279678977,AJJ_Henty,Thu May 19 09:31:03 +0000 2022,-1.3743525,50.9736625,Ticketmaster 😡😡😡🤬🤬🤬🤬🤬
1527220281969983489,EdgarCheikh,Thu May 19 09:31:04 +0000 2022,-4.2417514999999995,55.85830249999999,@DeMolJonathan @CerfiaFR https://t.co/BIHii3qRTS
1527220288282316800,coll_wild,Thu May 19 09:31:05 +0000 2022,-4.200441,57.739454,We definitely need Frankfort as the pot 1 team in our group now
1527220288328450048,daydreamnative,Thu May 19 09:31:05 +0000 2022,-2.9451295,51.346796,@PaulBlight6 Don’t think I’ve ever seen straight-line wind gusts over 150mph even in model-land…
1527220289922277376,TDFent,Thu May 19 09:31:06 +0000 2022,-1.9564865,53.4490355,@rphamer1984 Scenes we definitely definitely definitely don’t wish to see
1527220289309908993,HomeStraight1,Thu May 19 09:31:06 +0000 2022,-0.730884,52.6713405,Looking for a change in #career? Have you considered #homecare? Working with people in their own homes to support i… https://t.co/mRHc8wF7Hb
